file,query,image_url,source_page,title
misc_000.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/39435049/original_3e3657338195fea446d285175ae9f1bb.jpg?1757467057?bc=0,https://are.na/block/39435049,"Risograph: 539063078_18525282604049467_8382585680139160499_n.jpg 1,440×"
misc_001.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/38144299/original_a6c5596b8056467de55da58d6cee81b3.png?1752659912?bc=0,https://are.na/block/38144299,Risograph: Risograph Printing — Cecilie Press
misc_002.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/6853059/original_821bf1602155d3b520200414-4-vwruor.jpg?1586876580?bc=0,https://are.na/block/6853059,Risograph: Original Xerographies
misc_003.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/35436078/original_69a76209de74eb9909bb55e44cbb1142.png?1742666891?bc=0,https://are.na/block/35436078,risograph: Spectrolite - Risograph color separation - PDF booklet impos
misc_004.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/35436076/original_d854e5df012940a7a4a163aa55e102b9.png?1742666886?bc=0,https://are.na/block/35436076,risograph: HOW TO DESIGN FOR RISOGRAPH IN 5 STEPS!
misc_005.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/45613916/original_f9b0cf65137336373ee72190011d7436.jpeg?1777232151?bc=0,https://are.na/block/45613916,risograph: Castle Panels Riso Print – Maddie Fischer
misc_006.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/45613915/original_bb738654ab0144e1c3b8db8f6cda49e8.jpeg?1777232150?bc=0,https://are.na/block/45613915,risograph: Creature Hobbies Riso Print – Maddie Fischer
misc_007.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/16355509/original_e41dd0b8a76eb61b36f807c1f9d029cd.png?1651809555?bc=0,https://are.na/block/16355509,risograph / studios: online store — lucky risograph
misc_008.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/16355508/original_e95c7a25768c0d13ac2c092dab928b1b.png?1651809539?bc=0,https://are.na/block/16355508,risograph / studios: WING CLUB
misc_009.jpg,risograph,https://d2w9rnfcy7mm78.cloudfront.net/16355477/original_9c3611b0fa409fbb276853f74e8c0d2f.png?1651809170?bc=0,https://are.na/block/16355477,risograph / studios: Happy Accident Studio
